ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
abordées	abORde	aborder	VER	f	p	12.55	33.18	0.05	0.20	par:pas;	2	9	0	8	6	VCVCCVVC	VCVCCV	0	5	0	6	a-bOR-de	3	V-CVC-CV	seédroba	edROba	a-bor-dées	VER,ADJ	100	17	1.8	1.5	aborder	1
abordées	abORde	abordé	ADJ	f	p	0.15	0.20	0.00	0.07		2	9	0	8	6	VCVCCVVC	VCVCCV	0	5	0	6	a-bOR-de	3	V-CVC-CV	seédroba	edROba	a-bor-dées	VER,ADJ	92	25	1.8	1.5	a-bordé	2
abordés	abORde	aborder	VER	m	p	12.55	33.18	0.26	0.41	par:pas;	2	9	0	7	6	VCVCCVC	VCVCCV	2	5	0	6	a-bOR-de	3	V-CVC-CV	sédroba	edROba	a-bor-dés	VER,ADJ	100	17	1.65	1.5	aborder	1
abordés	abORde	abordé	ADJ	m	p	0.15	0.20	0.12	0.00		2	9	0	7	6	VCVCCVC	VCVCCV	2	5	0	6	a-bOR-de	3	V-CVC-CV	sédroba	edROba	a-bor-dés	VER,ADJ	92	25	1.65	1.5	a-bordé	2
aborigène	aboRiZEn	aborigène	ADJ		s	0.17	0.07	0.10	0.00		2	4	1	9	8	VCVCVCVCV	VCVCVCVC	0	0	5	4	a-bo-Ri-ZEn	4	V-CV-CV-CVC	enègiroba	nEZiRoba	a-bo-ri-gè-ne	ADJ,NOM	87	24	3.5	3.15	aborigène	1
aborigène	aboRiZEn	aborigène	NOM		s	0.60	0.14	0.21	0.00		2	4	1	9	8	VCVCVCVCV	VCVCVCVC	0	0	5	4	a-bo-Ri-ZEn	4	V-CV-CV-CVC	enègiroba	nEZiRoba	a-bo-ri-gè-ne	ADJ,NOM	87	16	3.5	3.15	aborigène	1
aborigènes	aboRiZEn	aborigène	ADJ		p	0.17	0.07	0.07	0.07		2	4	0	10	8	VCVCVCVCVC	VCVCVCVC	0	0	0	4	a-bo-Ri-ZEn	4	V-CV-CV-CVC	senègiroba	nEZiRoba	a-bo-ri-gè-nes	ADJ,NOM	87	24	3.6	3.15	aborigène	1
aborigènes	aboRiZEn	aborigène	NOM		p	0.60	0.14	0.39	0.14		2	4	0	10	8	VCVCVCVCVC	VCVCVCVC	0	0	0	4	a-bo-Ri-ZEn	4	V-CV-CV-CVC	senègiroba	nEZiRoba	a-bo-ri-gè-nes	ADJ,NOM	87	16	3.6	3.15	aborigène	1
abornement	abORn°m@	abornement	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	10	8	VCVCCVCVCC	VCVCCVCV	1	0	5	5	a-bOR-n°-m@	4	V-CVC-CV-CV	tnemenroba	@m°nROba	a-bor-ne-ment	NOM	12	16	2.55	2.7	a-borne-ment	3
abortif	abORtif	abortif	ADJ	m	s	0.04	0.34	0.01	0.00		1	1	1	7	7	VCVCCVC	VCVCCVC	0	1	5	5	a-bOR-tif	3	V-CVC-CVC	fitroba	fitROba		ADJ			2.3	2.35	abort-if	2
abortive	abORtiv	abortif	ADJ	f	s	0.04	0.34	0.01	0.14		1	2	0	8	7	VCVCCVCV	VCVCCVC	0	1	0	0	a-bOR-tiv	3	V-CVC-CVC	evitroba	vitROba	a-bor-ti-ve	ADJ			2.65	2.45	abort-if	2
abortives	abORtiv	abortif	ADJ	f	p	0.04	0.34	0.02	0.20		1	2	0	9	7	VCVCCVCVC	VCVCCVC	0	1	0	0	a-bOR-tiv	3	V-CVC-CVC	sevitroba	vitROba	a-bor-ti-ves	ADJ			2.75	2.45	abort-if	2
abouchaient	abuSE	aboucher	VER			0.00	0.81	0.00	0.07	ind:imp:3p;	1	3	0	11	5	VCVVCCVVVCC	VCVCV	0	4	0	0	a-bu-SE	3	V-CV-CV	tneiahcuoba	ESuba	a-bou-chaient	VER	23	26	2.4	1.75	aboucher	1
abouchais	abuSE	aboucher	VER			0.00	0.81	0.00	0.07	ind:imp:1s;	1	3	0	9	5	VCVVCCVVC	VCVCV	1	4	0	0	a-bu-SE	3	V-CV-CV	siahcuoba	ESuba	a-bou-chais	VER	23	26	2.2	1.75	aboucher	1
abouchait	abuSE	aboucher	VER			0.00	0.81	0.00	0.07	ind:imp:3s;	1	3	0	9	5	VCVVCCVVC	VCVCV	2	4	0	0	a-bu-SE	3	V-CV-CV	tiahcuoba	ESuba	a-bou-chait	VER	23	26	1.9	1.75	aboucher	1
abouchant	abuS@	aboucher	VER			0.00	0.81	0.00	0.07	par:pre;	1	1	0	9	5	VCVVCCVCC	VCVCV	1	5	0	0	a-bu-S@	3	V-CV-CV	tnahcuoba	@Suba	a-bou-chant	VER	23	26	2	1.65	aboucher	1
abouchements	abuS°m@	abouchement	NOM	m	p	0.00	0.07	0.00	0.07		1	1	0	12	7	VCVVCCVCVCCC	VCVCVCV	0	2	0	0	a-bu-S°-m@	4	V-CV-CV-CV	stnemehcuoba	@m°Suba	a-bou-che-ments	NOM			3.15		abouchement	1
aboucher	abuSe	aboucher	VER			0.00	0.81	0.00	0.34	inf;	1	4	1	8	5	VCVVCCVC	VCVCV	0	5	8	4	a-bu-Se	3	V-CV-CV	rehcuoba	eSuba	a-bou-cher	VER	23	26	1.95	1.7	aboucher	1
abouché	abuSe	aboucher	VER	m	s	0.00	0.81	0.00	0.07	par:pas;	1	4	0	7	5	VCVVCCV	VCVCV	0	5	0	4	a-bu-Se	3	V-CV-CV	éhcuoba	eSuba	a-bou-ché	VER	23	26	1.85	1.7	aboucher	1
abouchée	abuSe	aboucher	VER	f	s	0.00	0.81	0.00	0.07	par:pas;	1	4	0	8	5	VCVVCCVV	VCVCV	1	5	0	4	a-bu-Se	3	V-CV-CV	eéhcuoba	eSuba	a-bou-chée	VER	23	26	1.85	1.7	aboucher	1
abouchés	abuSe	aboucher	VER	m	p	0.00	0.81	0.00	0.07	par:pas;	1	4	0	8	5	VCVVCCVC	VCVCV	1	5	0	4	a-bu-Se	3	V-CV-CV	séhcuoba	eSuba	a-bou-chés	VER	23	26	1.85	1.7	aboucher	1
aboule	abul	abouler	VER			1.80	0.61	1.43	0.34	imp:pre:2s;ind:pre:3s;	1	2	0	6	4	VCVVCV	VCVC	1	2	0	0	a-bul	2	V-CVC	eluoba	luba	a-bou-le	VER	63	19	1.6	1.5	abouler	1
abouler	abule	abouler	VER			1.80	0.61	0.11	0.14	inf;	1	2	1	7	5	VCVVCVC	VCVCV	3	3	6	5	a-bu-le	3	V-CV-CV	reluoba	eluba	a-bou-ler	VER	63	19	1.65	1.6	abouler	1
aboules	abul	abouler	VER			1.80	0.61	0.01	0.00	ind:pre:2s;	1	2	0	7	4	VCVVCVC	VCVC	2	2	0	0	a-bul	2	V-CVC	seluoba	luba	a-bou-les	VER	63	19	1.75	1.5	abouler	1
aboulez	abule	abouler	VER			1.80	0.61	0.25	0.14	imp:pre:2p;	1	2	0	7	5	VCVVCVC	VCVCV	2	3	0	5	a-bu-le	3	V-CV-CV	zeluoba	eluba	a-bou-lez	VER	63	19	1.85	1.6	abouler	1
aboulie	abuli	aboulie	NOM	f	s	0.00	0.14	0.00	0.14		1	1	1	7	5	VCVVCVV	VCVCV	1	4	7	5	a-bu-li	3	V-CV-CV	eiluoba	iluba	a-bou-lie	NOM	35	20	1.85	1.7	aboulie	1
aboulique	abulik	aboulique	NOM		s	0.00	0.07	0.00	0.07		1	2	1	9	6	VCVVCVCVV	VCVCVC	0	0	7	6	a-bu-lik	3	V-CV-CVC	euqiluoba	kiluba	a-bou-li-que	NOM	0	23	2.7	1.95	aboulie-ique	2
abouliques	abulik	aboulique	ADJ		p	0.00	0.14	0.00	0.14		1	2	0	10	6	VCVVCVCVVC	VCVCVC	0	0	0	6	a-bu-lik	3	V-CV-CVC	seuqiluoba	kiluba	a-bou-li-ques	ADJ			2.85	1.95	aboulie-ique	2
abounas	abuna	abouna	NOM	m	p	0.00	0.07	0.00	0.07		1	1	0	7	5	VCVVCVC	VCVCV	0	1	0	0	a-bu-na	3	V-CV-CV	sanuoba	anuba	a-bou-nas	NOM			2.75	1.95	abouna	1
about	abu	about	NOM	m	s	5.94	0.47	5.94	0.47		1	1	1	5	3	VCVVC	VCV	2	12	5	3	a-bu	2	V-CV	tuoba	uba	a-bout	NOM	10	20	1.75	1.2	about	1
aboutait	abutE	abouter	VER			0.00	0.14	0.00	0.07	ind:imp:3s;	1	1	0	8	5	VCVVCVVC	VCVCV	1	6	0	0	a-bu-tE	3	V-CV-CV	tiatuoba	Etuba	a-bou-tait	VER			1.9	1.7	abouter	1
abouti	abuti	abouti	ADJ	m	s	0.11	0.20	0.04	0.14		2	7	1	6	5	VCVVCV	VCVCV	2	7	6	5	a-bu-ti	3	V-CV-CV	ituoba	ituba	a-bou-ti	ADJ,VER	91	24	1.65	1.5	abouti	1
abouti	abuti	aboutir	VER	m	s	5.34	25.81	1.24	2.84	par:pas;	2	7	0	6	5	VCVVCV	VCVCV	2	7	6	5	a-bu-ti	3	V-CV-CV	ituoba	ituba	a-bou-ti	ADJ,VER	100	19	1.65	1.5	aboutir	1
aboutie	abuti	abouti	ADJ	f	s	0.11	0.20	0.04	0.07		2	7	0	7	5	VCVVCVV	VCVCV	5	7	0	5	a-bu-ti	3	V-CV-CV	eituoba	ituba	a-bou-tie	ADJ,VER	91	24	1.7	1.5	abouti	1
aboutie	abuti	aboutir	VER	f	s	5.34	25.81	0.04	0.00	par:pas;	2	7	0	7	5	VCVVCVV	VCVCV	5	7	0	5	a-bu-ti	3	V-CV-CV	eituoba	ituba	a-bou-tie	ADJ,VER	100	19	1.7	1.5	aboutir	1
aboutir	abutiR	aboutir	VER			5.34	25.81	1.34	9.80	inf;	1	2	1	7	6	VCVVCVC	VCVCVC	4	5	7	6	a-bu-tiR	3	V-CV-CVC	rituoba	Rituba	a-bou-tir	VER	100	19	1.7	1.55	aboutir	1
aboutira	abutiRa	aboutir	VER			5.34	25.81	0.29	0.41	ind:fut:3s;	1	2	0	8	7	VCVVCVCV	VCVCVCV	1	2	0	0	a-bu-ti-Ra	4	V-CV-CV-CV	arituoba	aRituba	a-bou-ti-ra	VER	100	19	2.1	1.85	aboutir	1
aboutirai	abutiRE	aboutir	VER			5.34	25.81	0.00	0.07	ind:fut:1s;	1	4	0	9	7	VCVVCVCVV	VCVCVCV	1	3	0	0	a-bu-ti-RE	4	V-CV-CV-CV	iarituoba	ERituba	a-bou-ti-rai	VER	100	19	2.45	1.8	aboutir	1
aboutiraient	abutiRE	aboutir	VER			5.34	25.81	0.01	0.14	cnd:pre:3p;	1	4	0	12	7	VCVVCVCVVVCC	VCVCVCV	0	3	0	0	a-bu-ti-RE	4	V-CV-CV-CV	tneiarituoba	ERituba	a-bou-ti-raient	VER	100	19	2.75	1.8	aboutir	1
aboutirais	abutiRE	aboutir	VER			5.34	25.81	0.00	0.14	cnd:pre:1s;	1	4	0	10	7	VCVVCVCVVC	VCVCVCV	1	3	0	0	a-bu-ti-RE	4	V-CV-CV-CV	siarituoba	ERituba	a-bou-ti-rais	VER	100	19	2.5	1.8	aboutir	1
aboutirait	abutiRE	aboutir	VER			5.34	25.81	0.05	0.61	cnd:pre:3s;	1	4	0	10	7	VCVVCVCVVC	VCVCVCV	1	3	0	0	a-bu-ti-RE	4	V-CV-CV-CV	tiarituoba	ERituba	a-bou-ti-rait	VER	100	19	2.3	1.8	aboutir	1
aboutiras	abutiRa	aboutir	VER			5.34	25.81	0.00	0.07	ind:fut:2s;	1	2	0	9	7	VCVVCVCVC	VCVCVCV	1	2	0	0	a-bu-ti-Ra	4	V-CV-CV-CV	sarituoba	aRituba	a-bou-ti-ras	VER	100	19	2.35	1.85	aboutir	1
aboutirent	abutiR	aboutir	VER			5.34	25.81	0.00	0.68	ind:pas:3p;	1	2	0	10	6	VCVVCVCVCC	VCVCVC	1	5	0	6	a-bu-tiR	3	V-CV-CVC	tnerituoba	Rituba	a-bou-ti-rent	VER	100	19	2.45	1.55	aboutir	1
aboutirons	abutiR§	aboutir	VER			5.34	25.81	0.01	0.00	ind:fut:1p;	1	2	0	10	7	VCVVCVCVCC	VCVCVCV	1	2	0	0	a-bu-ti-R§	4	V-CV-CV-CV	snorituoba	§Rituba	a-bou-ti-rons	VER	100	19	2.55	1.85	aboutir	1
aboutiront	abutiR§	aboutir	VER			5.34	25.81	0.04	0.27	ind:fut:3p;	1	2	0	10	7	VCVVCVCVCC	VCVCVCV	2	2	0	0	a-bu-ti-R§	4	V-CV-CV-CV	tnorituoba	§Rituba	a-bou-ti-ront	VER	100	19	2.65	1.85	aboutir	1
aboutis	abuti	abouti	ADJ	m	p	0.11	0.20	0.03	0.00		2	7	0	7	5	VCVVCVC	VCVCV	5	7	0	5	a-bu-ti	3	V-CV-CV	situoba	ituba	a-bou-tis	ADJ,VER	91	24	1.7	1.5	abouti	1
aboutis	abuti	aboutir	VER	m	p	5.34	25.81	0.07	0.34	ind:pre:1s;ind:pre:2s;par:pas;	2	7	0	7	5	VCVVCVC	VCVCV	5	7	0	5	a-bu-ti	3	V-CV-CV	situoba	ituba	a-bou-tis	ADJ,VER	100	19	1.7	1.5	aboutir	1
aboutissaient	abutisE	aboutir	VER			5.34	25.81	0.15	1.15	ind:imp:3p;	1	2	0	13	7	VCVVCVCCVVVCC	VCVCVCV	1	4	0	0	a-bu-ti-sE	4	V-CV-CV-CV	tneiassituoba	Esituba	a-bou-tis-saient	VER	100	19	2.5	1.75	aboutir	1
aboutissait	abutisE	aboutir	VER			5.34	25.81	0.03	2.50	ind:imp:3s;	1	2	0	11	7	VCVVCVCCVVC	VCVCVCV	2	4	0	0	a-bu-ti-sE	4	V-CV-CV-CV	tiassituoba	Esituba	a-bou-tis-sait	VER	100	19	2.3	1.75	aboutir	1
aboutissant	abutis@	aboutir	VER			5.34	25.81	0.00	1.15	par:pre;	2	3	0	11	7	VCVVCVCCVCC	VCVCVCV	3	3	9	7	a-bu-ti-s@	4	V-CV-CV-CV	tnassituoba	@situba	a-bou-tis-sant	VER,NOM	100	19	2.15	1.75	aboutir	1
aboutissant	abutis@	aboutissant	NOM	m	s	0.09	0.95	0.00	0.14		2	3	1	11	7	VCVVCVCCVCC	VCVCVCV	3	3	9	7	a-bu-ti-s@	4	V-CV-CV-CV	tnassituoba	@situba	a-bou-tis-sant	VER,NOM	90	21	2.15	1.75	aboutissant	1
aboutissants	abutis@	aboutissant	NOM	m	p	0.09	0.95	0.09	0.81		1	3	0	12	7	VCVVCVCCVCCC	VCVCVCV	1	3	0	7	a-bu-ti-s@	4	V-CV-CV-CV	stnassituoba	@situba	a-bou-tis-sants	NOM	90	21	2.55	1.75	aboutissant	1
aboutisse	abutis	aboutir	VER			5.34	25.81	0.08	0.41	sub:pre:1s;sub:pre:3s;	1	2	0	9	6	VCVVCVCCV	VCVCVC	0	2	0	0	a-bu-tis	3	V-CV-CVC	essituoba	situba	a-bou-tis-se	VER	100	19	2.5	1.65	aboutir	1
aboutissement	abutis°m@	aboutissement	NOM	m	s	0.50	4.05	0.50	4.05		1	1	1	13	9	VCVVCVCCVCVCC	VCVCVCVCV	1	1	9	7	a-bu-ti-s°-m@	5	V-CV-CV-CV-CV	tnemessituoba	@m°situba	a-bou-tis-se-ment	NOM	95	23	2.65		a-bout-ment	3
aboutissent	abutis	aboutir	VER			5.34	25.81	0.47	1.49	ind:pre:3p;	1	2	0	11	6	VCVVCVCCVCC	VCVCVC	2	2	0	0	a-bu-tis	3	V-CV-CVC	tnessituoba	situba	a-bou-tis-sent	VER	100	19	2.2	1.65	aboutir	1
aboutissez	abutise	aboutir	VER			5.34	25.81	0.02	0.07	ind:pre:2p;	1	1	0	10	7	VCVVCVCCVC	VCVCVCV	0	2	0	0	a-bu-ti-se	4	V-CV-CV-CV	zessituoba	esituba	a-bou-tis-sez	VER	100	19	2.65	1.85	aboutir	1
aboutissiez	abutisje	aboutir	VER			5.34	25.81	0.00	0.07	ind:imp:2p;	1	1	0	11	8	VCVVCVCCVVC	VCVCVCYV	0	1	0	0	a-bu-ti-sje	4	V-CV-CV-CYV	zeissituoba	ejsituba	a-bou-tis-siez	VER	100	19	3.35	2.5	aboutir	1
aboutissions	abutisj§	aboutir	VER			5.34	25.81	0.00	0.07	ind:imp:1p;	1	1	0	12	8	VCVVCVCCVVCC	VCVCVCYV	1	1	0	0	a-bu-ti-sj§	4	V-CV-CV-CYV	snoissituoba	§jsituba	a-bou-tis-sions	VER	100	19	3.15	2.4	aboutir	1
aboutit	abuti	aboutir	VER			5.34	25.81	1.50	3.45	ind:pre:3s;ind:pas:3s;	1	7	0	7	5	VCVVCVC	VCVCV	4	7	0	5	a-bu-ti	3	V-CV-CV	tituoba	ituba	a-bou-tit	VER	100	19	1.7	1.5	aboutir	1
aboutonnai	abutonE	aboutonner	VER			0.00	0.07	0.00	0.07	ind:pas:1s;	1	1	0	10	7	VCVVCVCCVV	VCVCVCV	0	0	0	0	a-bu-to-nE	4	V-CV-CV-CV	iannotuoba	Enotuba	a-bou-ton-nai	VER			2.85	1.95	aboutonner	1
aboutons	abut§	abouter	VER			0.00	0.14	0.00	0.07	imp:pre:1p;	1	1	0	8	5	VCVVCVCC	VCVCV	1	5	0	0	a-bu-t§	3	V-CV-CV	snotuoba	§tuba	a-bou-tons	VER			1.9	1.7	abouter	1
aboutîmes	abutim	aboutir	VER			5.34	25.81	0.00	0.14	ind:pas:1p;	1	1	0	9	6	VCVVCVCVC	VCVCVC	0	2	0	0	a-bu-tim	3	V-CV-CVC	semîtuoba	mituba	a-bou-tî-mes	VER	100	19	3	1.85	aboutir	1
aboya	abwaja	aboyer	VER			7.43	11.82	0.00	1.42	ind:pas:3s;	1	1	0	5	6	VCVVV	VCYVYV	1	5	0	0	a-bwa-ja	3	V-CYV-YV	ayoba	ajawba	a-boya	VER	100	20	1.95	1.75	aboyer	1
aboyaient	abwajE	aboyer	VER			7.43	11.82	0.05	0.68	ind:imp:3p;	1	2	0	9	6	VCVVVVVCC	VCYVYV	0	6	0	0	a-bwa-jE	3	V-CYV-YV	tneiayoba	Ejawba	a-boyaient	VER	100	20	2.05	1.65	aboyer	1
aboyait	abwajE	aboyer	VER			7.43	11.82	0.33	1.55	ind:imp:3s;	1	2	0	7	6	VCVVVVC	VCYVYV	1	6	0	0	a-bwa-jE	3	V-CYV-YV	tiayoba	Ejawba	a-boyait	VER	100	20	1.95	1.65	aboyer	1
aboyant	abwaj@	aboyant	ADJ	m	s	0.01	0.20	0.01	0.14		2	2	1	7	6	VCVVVCC	VCYVYV	1	5	5	6	a-bwa-j@	3	V-CYV-YV	tnayoba	@jawba	a-boyant	ADJ,VER	100	13	1.9	1.7	aboyant	1
aboyant	abwaj@	aboyer	VER			7.43	11.82	0.18	1.28	par:pre;	2	2	0	7	6	VCVVVCC	VCYVYV	1	5	5	6	a-bwa-j@	3	V-CYV-YV	tnayoba	@jawba	a-boyant	ADJ,VER	100	20	1.9	1.7	aboyer	1
aboyante	abwaj@t	aboyant	ADJ	f	s	0.01	0.20	0.00	0.07		1	1	0	8	7	VCVVVCCV	VCYVYVC	0	0	0	0	a-bwa-j@t	3	V-CYV-YVC	etnayoba	t@jawba	a-boyan-te	ADJ	100	13	2.55	2.2	aboyant	1
aboyer	abwaje	aboyer	VER			7.43	11.82	2.39	3.04	inf;	1	2	1	6	6	VCVVVC	VCYVYV	1	6	6	6	a-bwa-je	3	V-CYV-YV	reyoba	ejawba	a-boyer	VER	100	20	1.9	1.7	aboyer	1
aboyeur	abwaj9R	aboyeur	ADJ	m	s	0.03	0.14	0.03	0.00		2	4	1	7	7	VCVVVVC	VCYVYVC	0	1	6	6	a-bwa-j9R	3	V-CYV-YVC	rueyoba	R9jawba	a-boyeur	ADJ,NOM	85	20	2.3	2.1	aboyer-eur	2
aboyeur	abwaj9R	aboyeur	NOM	m	s	0.06	0.61	0.05	0.34		2	4	1	7	7	VCVVVVC	VCYVYVC	0	1	6	6	a-bwa-j9R	3	V-CYV-YVC	rueyoba	R9jawba	a-boyeur	ADJ,NOM	92	27	2.3	2.1	aboyer-eur	2
aboyeurs	abwaj9R	aboyeur	ADJ	m	p	0.03	0.14	0.00	0.14		2	4	0	8	7	VCVVVVCC	VCYVYVC	0	1	0	6	a-bwa-j9R	3	V-CYV-YVC	srueyoba	R9jawba	a-boyeurs	ADJ,NOM	85	20	2.6	2.1	aboyer-eur	2
aboyeurs	abwaj9R	aboyeur	NOM	m	p	0.06	0.61	0.01	0.27		2	4	0	8	7	VCVVVVCC	VCYVYVC	0	1	0	6	a-bwa-j9R	3	V-CYV-YVC	srueyoba	R9jawba	a-boyeurs	ADJ,NOM	92	27	2.6	2.1	aboyer-eur	2
aboyons	abwaj§	aboyer	VER			7.43	11.82	0.10	0.07	ind:pre:1p;	1	1	0	7	6	VCVVVCC	VCYVYV	0	6	0	0	a-bwa-j§	3	V-CYV-YV	snoyoba	§jawba	a-boyons	VER	100	20	2	1.7	aboyer	1
aboyèrent	abwajER	aboyer	VER			7.43	11.82	0.00	0.27	ind:pas:3p;	1	1	0	9	7	VCVVVCVCC	VCYVYVC	0	1	0	0	a-bwa-jER	3	V-CYV-YVC	tnerèyoba	REjawba	a-boyè-rent	VER	100	20	2.6	2	aboyer	1
aboyé	abwaje	aboyer	VER	m	s	7.43	11.82	0.28	0.54	par:pas;	1	2	0	5	6	VCVVV	VCYVYV	1	6	0	6	a-bwa-je	3	V-CYV-YV	éyoba	ejawba	a-boyé	VER	100	20	1.95	1.7	aboyer	1
abracadabra	abRakadabRa	abracadabra	NOM	m	s	0.98	0.27	0.98	0.27		1	1	1	11	11	VCCVCVCVCCV	VCCVCVCVCCV	1	2	11	11	a-bRa-ka-da-bRa	5	V-CCV-CV-CV-CCV	arbadacarba	aRbadakaRba	a-bra-ca-da-bra	NOM	86	15	4.65	4.7	abracadabra	1
abracadabrant	abRakadabR@	abracadabrant	ADJ	m	s	0.26	0.68	0.03	0.20		1	2	1	13	11	VCCVCVCVCCVCC	VCCVCVCVCCV	0	2	12	11	a-bRa-ka-da-bR@	5	V-CCV-CV-CV-CCV	tnarbadacarba	@RbadakaRba	a-bra-ca-da-brant	ADJ	100	24	4.9	5.05	abracadabrant	1
abracadabrante	abRakadabR@t	abracadabrant	ADJ	f	s	0.26	0.68	0.13	0.00		1	2	0	14	12	VCCVCVCVCCVCCV	VCCVCVCVCCVC	1	0	0	0	a-bRa-ka-da-bR@t	5	V-CCV-CV-CV-CCVC	etnarbadacarba	t@RbadakaRba	a-bra-ca-da-bran-te	ADJ	100	24	5.5	5.75	abracadabrant	1
abracadabrantes	abRakadabR@t	abracadabrant	ADJ	f	p	0.26	0.68	0.10	0.34		1	2	0	15	12	VCCVCVCVCCVCCVC	VCCVCVCVCCVC	0	0	0	0	a-bRa-ka-da-bR@t	5	V-CCV-CV-CV-CCVC	setnarbadacarba	t@RbadakaRba	a-bra-ca-da-bran-tes	ADJ	100	24	5.75	5.75	abracadabrant	1
abracadabrants	abRakadabR@	abracadabrant	ADJ	m	p	0.26	0.68	0.00	0.14		1	2	0	14	11	VCCVCVCVCCVCCC	VCCVCVCVCCV	1	2	0	11	a-bRa-ka-da-bR@	5	V-CCV-CV-CV-CCV	stnarbadacarba	@RbadakaRba	a-bra-ca-da-brants	ADJ	100	24	5.55	5.05	abracadabrant	1
abracadabré	abRakadabRe	abracadabrer	VER	m	s	0.01	0.00	0.01	0.00	par:pas;	1	1	0	11	11	VCCVCVCVCCV	VCCVCVCVCCV	1	2	0	0	a-bRa-ka-da-bRe	5	V-CCV-CV-CV-CCV	érbadacarba	eRbadakaRba	a-bra-ca-da-bré	VER			5.25	4.95	abracadabrer	1
abrasif	abRazif	abrasif	ADJ	m	s	0.09	0.27	0.04	0.27		2	4	1	7	7	VCCVCVC	VCCVCVC	0	1	7	6	a-bRa-zif	3	V-CCV-CVC	fisarba	fizaRba	a-bra-sif	ADJ,NOM	95	22	2.6	2.6	abraser-ion-if	3
abrasif	abRazif	abrasif	NOM	m	s	0.15	0.41	0.13	0.34		2	4	1	7	7	VCCVCVC	VCCVCVC	0	1	7	6	a-bRa-zif	3	V-CCV-CVC	fisarba	fizaRba	a-bra-sif	ADJ,NOM	85	20	2.6	2.6	abraser-ion-if	3
abrasifs	abRazif	abrasif	ADJ	m	p	0.09	0.27	0.01	0.00		2	4	0	8	7	VCCVCVCC	VCCVCVC	0	1	0	6	a-bRa-zif	3	V-CCV-CVC	sfisarba	fizaRba	a-bra-sif-s	ADJ,NOM	95	22	2.7	2.6	abraser-ion-if	3
abrasifs	abRazif	abrasif	NOM	m	p	0.15	0.41	0.03	0.07		2	4	0	8	7	VCCVCVCC	VCCVCVC	0	1	0	6	a-bRa-zif	3	V-CCV-CVC	sfisarba	fizaRba	a-bra-sif-s	ADJ,NOM	85	20	2.7	2.6	abraser-ion-if	3
abrasion	abRazj§	abrasion	NOM	f	s	0.19	0.14	0.19	0.14		1	1	1	8	7	VCCVCVVC	VCCVCYV	0	0	7	6	a-bRa-zj§	3	V-CCV-CYV	noisarba	§jzaRba	a-bra-sion	NOM	82	17	2.75	2.1	abraser-ion	2
abrasive	abRaziv	abrasif	ADJ	f	s	0.09	0.27	0.04	0.00		1	1	0	8	7	VCCVCVCV	VCCVCVC	0	1	0	0	a-bRa-ziv	3	V-CCV-CVC	evisarba	vizaRba		ADJ	95	22	2.8	2.7	abraser-ion-if	3
abrasé	abRaze	abraser	VER	m	s	0.00	0.07	0.00	0.07	par:pas;	1	1	0	6	6	VCCVCV	VCCVCV	0	1	0	0	a-bRa-ze	3	V-CCV-CV	ésarba	ezaRba	a-bra-sé	VER			2	1.85	abraser	1
abraxas	abRaksas	abraxas	NOM	m		0.29	0.00	0.29	0.00		1	1	1	7	8	VCCVCVC	VCCVCCVC	0	0	5	6	a-bRak-sas	3	V-CCVC-CVC	saxarba	saskaRba		NOM			3	3.1	abraxas	1
abreuva	abR9va	abreuver	VER			1.13	6.22	0.00	0.27	ind:pas:3s;	1	1	0	7	6	VCCVVCV	VCCVCV	2	4	0	0	a-bR9-va	3	V-CCV-CV	avuerba	av9Rba	a-breu-va	VER	100	24	2.4	1.85	abreuver	1
abreuvage	abR9vaZ	abreuvage	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	9	7	VCCVVCVCV	VCCVCVC	0	0	7	6	a-bR9-vaZ	3	V-CCV-CVC	egavuerba	Zav9Rba	a-breu-va-ge	NOM	65	23	2.6	2.35	abreuver-age	2
abreuvaient	abR9vE	abreuver	VER			1.13	6.22	0.00	0.27	ind:imp:3p;	1	2	0	11	6	VCCVVCVVVCC	VCCVCV	0	4	0	0	a-bR9-vE	3	V-CCV-CV	tneiavuerba	Ev9Rba	a-breu-vaient	VER	100	24	2.8	1.95	abreuver	1
abreuvait	abR9vE	abreuver	VER			1.13	6.22	0.03	0.47	ind:imp:3s;	1	2	0	9	6	VCCVVCVVC	VCCVCV	1	4	0	0	a-bR9-vE	3	V-CCV-CV	tiavuerba	Ev9Rba	a-breu-vait	VER	100	24	2.65	1.95	abreuver	1
abreuvant	abR9v@	abreuver	VER			1.13	6.22	0.01	0.34	par:pre;	1	1	0	9	6	VCCVVCVCC	VCCVCV	2	4	0	0	a-bR9-v@	3	V-CCV-CV	tnavuerba	@v9Rba	a-breu-vant	VER	100	24	2.6	2.05	abreuver	1
